date,hosp
2022-02-02,2
2022-02-03,4
2022-02-04,2
2022-02-05,2
2022-02-06,1
2022-02-07,2
2022-02-08,1
2022-02-09,1
2022-02-10,1
2022-02-11,2
2022-02-12,1
2022-02-13,3
2022-02-14,2
2022-02-17,2
2022-02-18,1
2022-02-19,2
2022-02-20,4
2022-02-21,1
2022-02-22,4
2022-02-23,4
2022-02-24,3
2022-02-25,3
2022-02-26,2
2022-02-27,3
2022-02-28,1
2022-03-01,3
2022-03-03,3
2022-03-04,4
2022-03-05,6
2022-03-06,2
2022-03-07,4
2022-03-08,4
2022-03-09,2
2022-03-10,3
2022-03-11,7
2022-03-12,7
2022-03-13,3
2022-03-14,6
2022-03-15,12
2022-03-16,9
2022-03-17,12
2022-03-18,14
2022-03-19,10
2022-03-20,12
2022-03-21,23
2022-03-22,28
2022-03-23,26
2022-03-24,34
2022-03-25,26
2022-03-26,27
2022-03-27,19
2022-03-28,27
2022-03-29,30
2022-03-30,39
2022-03-31,33
2022-04-01,33
2022-04-02,38
2022-04-03,38
2022-04-04,40
2022-04-05,42
2022-04-06,41
2022-04-07,56
2022-04-08,49
2022-04-09,41
2022-04-10,56
2022-04-11,59
2022-04-12,67
2022-04-13,54
2022-04-14,48
2022-04-15,63
2022-04-16,55
2022-04-17,59
2022-04-18,58
2022-04-19,64
2022-04-20,54
2022-04-21,35
2022-04-22,43
2022-04-23,24
2022-04-24,33
2022-04-25,38
2022-04-26,35
2022-04-27,27
2022-04-28,24
2022-04-29,23
2022-04-30,24
2022-05-01,20
2022-05-02,31
2022-05-03,21
2022-05-04,31
2022-05-05,32
2022-05-06,26
2022-05-07,13
2022-05-08,24
2022-05-09,19
2022-05-10,21
2022-05-11,20
2022-05-12,21
2022-05-13,18
2022-05-14,11
2022-05-15,20
2022-05-16,33
2022-05-17,13
2022-05-18,15
2022-05-19,21
2022-05-20,19
2022-05-21,18
2022-05-22,13
2022-05-23,22
2022-05-24,17
2022-05-25,15
2022-05-26,5
2022-05-27,7
2022-05-28,9
2022-05-29,6
2022-05-30,10
2022-05-31,8
2022-06-01,4
2022-06-02,4
2022-06-03,5
2022-06-04,2
2022-06-05,6
2022-06-06,2
2022-06-07,8
2022-06-08,4
2022-06-09,3
2022-06-10,1
2022-06-11,1
2022-06-12,2
2022-06-13,4
2022-06-14,3
2022-06-15,2
2022-06-16,1
2022-06-17,1
2022-06-20,3
2022-06-21,1
2022-06-26,1
2022-06-27,2
2022-07-04,1
2022-07-05,1
2022-07-06,2
2022-07-07,3
2022-07-09,1
2022-07-10,1
2022-07-11,2
2022-07-12,3
2022-07-14,2
2022-07-16,1
2022-07-18,2
2022-07-21,1
2022-07-22,1
2022-07-26,1
2022-07-28,1
2022-07-29,2
2022-07-31,1
2022-08-03,2
2022-08-04,1
2022-08-06,1
2022-08-08,2
2022-08-09,2
2022-08-10,2
2022-08-11,2
2022-08-12,3
2022-08-13,4
2022-08-14,2
2022-08-15,2
2022-08-17,1
2022-08-18,1
2022-08-20,3
2022-08-22,1
2022-08-23,1
2022-08-28,1
2022-08-29,2
2022-09-01,2
2022-09-05,2
2022-09-06,1
2022-09-09,2
2022-09-10,2
2022-09-11,1
2022-09-13,2
2022-09-14,1
2022-09-15,2
2022-09-17,1
2022-09-18,1
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-25,3
2022-09-27,4
2022-09-30,1
2022-10-01,4
2022-10-02,1
2022-10-03,2
2022-10-04,3
2022-10-05,1
2022-10-07,2
2022-10-08,1
2022-10-12,1
2022-10-15,2
2022-10-17,1
2022-10-18,3
2022-10-20,1
2022-10-21,3
2022-10-22,3
2022-10-24,3
2022-10-25,3
2022-10-26,2
2022-10-27,2
2022-10-28,5
2022-10-29,4
2022-10-30,2
2022-10-31,4
2022-11-01,4
2022-11-02,4
2022-11-03,3
2022-11-04,5
2022-11-05,5
2022-11-06,3
2022-11-07,4
2022-11-08,2
2022-11-09,6
2022-11-10,5
2022-11-11,8
2022-11-12,3
2022-11-13,5
2022-11-14,9
2022-11-15,5
2022-11-16,6
2022-11-17,11
2022-11-18,8
2022-11-19,6
2022-11-20,12
2022-11-21,15
2022-11-22,11
2022-11-23,10
2022-11-24,14
2022-11-25,7
2022-11-26,8
2022-11-27,12
2022-11-28,17
2022-11-29,16
2022-11-30,14
2022-12-01,19
2022-12-02,10
2022-12-03,16
2022-12-04,15
2022-12-05,19
